id,crawlerId,companyName,techStatus,subTechComment,techComments,sentTeamComment,siteType,jobsOnCareerPage,techAssignee,config,siteId,careerSiteUrl,integrationLink,crawlerType,applyType,emailId,jobUrl,createdOn,updatedOn,sentToTechDate,blockedCrawlingMode
6a0ff85333d7d9046a5073db,3698058,Sunrise Technologies,Non-Workable,CareerSite Down,Data not found in Api link,No Job Crawled,SRP,5,priyanka.rao,"{""xpath"":""//div[@class='job-card']"",""isOnlyTextSrp"":true,""option"":false,""navigationMethod"":1,""isNavigationMethodSet"":""false"",""isNextFound"":false,""loadMore"":{""xpath"":"""",""threshold"":100}}",sunrisetechnologies,https://www.sunrisetechs.com/careers/,https://www.sunrisetechs.com/careers/,SRPAUTOMATION,Apply without Registration,,,22-May-26,22-May-26,2023-12-07,
6a0ff7ea33d7d9046a5073da,125189675,Naalvar Solutions,Done,Jobs in New Pool,no location,No Job Crawled,SRP,2,himanshu.tanwar,"{""xpath"":""//tbody//tr"",""isOnlyTextSrp"":true,""option"":false,""navigationMethod"":1,""isNavigationMethodSet"":""false"",""isNextFound"":false,""loadMore"":{""xpath"":"""",""threshold"":100}}",naalvarsolutions_UC,https://www.naalvarsolutions.com/career,https://naalvarsolutions.com/career,SRPAUTOMATION,Apply without Registration,,,22-May-26,22-May-26,2025-12-23,
6a0ff7b233d7d9046a5073d7,124847415,Nagarjuna College of Engineering and Technology,In Process,Level 1,,No Job Crawled,ATS,2,himanshu.tanwar,"{""ncet_UC"":{""URL"":"" https://ncet.co.in/careers/"",""LOCRGX"":""(?s)<h3 class=[^>]+>(([^<]+))(.*?)</div>"",""LOCRGXSEQ"":""JOBID,JOBTITLE,JOBDESC"",""JOBLINK"":""https://ncet.co.in/careers/"",""CurrentJobNum"":1,""MAXJBSPPAGE"":10,""JDVARS"":{""FAREA"":{""type"":""SUB"",""callable"":""Classifier_FAREA""},""ROLE"":{""type"":""SUB"",""callable"":""Classifier_ROLE""},""INDUSTRY"":{""type"":""SUB"",""callable"":""Classifier_INDUSTRY""}},""Cookie"":""YES"",""CurrentPageNum"":0,""USER_AGENT"":""Firefox/5.0"",""POSTQUERY"":""update WEB_JOBS set COMPNAME ='Nagarjuna College of Engineering and Technology',compid ='124847415', jobConsultant = 'n' where  SITE = 'ncet_UC'"",""StartPageNum"":0,""MAXPAGESPARSE"":""1"",""ISCRAWL_FULL"":0,""SAVE_JD_COOKIE"":""Yes"",""IS_SITE_ID_DERIVED"":0,""DELETE_UNLISTED"":""y"",""JOBSCOUNT"":0,""SQLDATE"":""%Y-%m-%d"",""MOVE_TO_JD"":0,""TERMRGX"":"""",""CanProcceed"":1}}",ncet_UC,https://ncet.co.in/careers/,https://ncet.co.in/careers/,JPERL,Apply without Registration,,,22-May-26,22-May-26,2025-06-09,UNIVERSALCRAWLING
6a0ff79e33d7d9046a5073d6,3698058,Sunrise Technologies,In Process,Level 1,,No Job Crawled,SRP,5,priyanka.rao,"{""xpath"":""//div[@class='job-card']"",""isOnlyTextSrp"":true,""option"":false,""navigationMethod"":1,""isNavigationMethodSet"":""false"",""isNextFound"":false,""loadMore"":{""xpath"":"""",""threshold"":100}}",sunrisetechnologies,https://www.sunrisetechs.com/careers/,https://www.sunrisetechs.com/careers/,SRPAUTOMATION,Apply without Registration,,,22-May-26,22-May-26,2023-12-07,
6a0ff75e33d7d9046a507075,3583012,EPPS Infotech,In Process,Level 1,,No Job Crawled,ATS,5,priyanka.rao,"{""3583012_SRP"":{""URL"":""https://eppsinfotech.com/main-es2015.js"",""LOCRGX"":""(?s)<h5 class=\\\\\""m-0 font-segoe-bold\\\\\"">(([^<]+))[^>]+>[^>]+>[^>]+>[^>]+>[^>]+>[^>]+>[^>]+>[^>]+>[^>]+>[^>]+>[^>]+>[^>]+>[^>]+>[^>]+>[^>]+>[^>]+>[^>]+>[^>]+>[^>]+>[^>]+>[^>]+>[^>]+>[^>]+>[^>]+>[^>]+>(.+?)<div class=\\\\\""d-flex align-items"",""LOCRGXSEQ"":""JOBID,JOBTITLE,JOBDESC"",""JOBLINK"":""http://www.epps-erp.com/careers"",""CurrentJobNum"":1,""MAXJBSPPAGE"":10,""JDVARS"":{""FAREA"":{""type"":""SUB"",""callable"":""Classifier_FAREA""},""ROLE"":{""type"":""SUB"",""callable"":""Classifier_ROLE""},""INDUSTRY"":{""type"":""SUB"",""callable"":""Classifier_INDUSTRY""}},""Cookie"":""YES"",""CurrentPageNum"":0,""USER_AGENT"":""Firefox/5.0"",""POSTQUERY"":""update WEB_JOBS set COMPNAME ='EPPS Infotech',compid ='3583012', jobConsultant = 'n' where  SITE = '3583012_SRP'"",""StartPageNum"":0,""MAXPAGESPARSE"":""1"",""ISCRAWL_FULL"":0,""SAVE_JD_COOKIE"":""Yes"",""IS_SITE_ID_DERIVED"":0,""DELETE_UNLISTED"":""y"",""JOBSCOUNT"":0,""SQLDATE"":""%Y-%m-%d"",""MOVE_TO_JD"":0,""TERMRGX"":"""",""CanProcceed"":1}}",3583012_SRP,https://eppsinfotech.com/careers,http://www.epps-erp.com/careers,JPERL,Apply without Registration,,,22-May-26,22-May-26,2025-02-06,UNIVERSALCRAWLING
6a0ff63533d7d9046a507073,4962614,Ahana Systems and Solutions,In Process,Level 1,,No Job Crawled,ATS,9,hari.gupta,"{""4962614_SRP"":{""URL"":""https://tpsjbeazbfytwelqajto.supabase.co/rest/v1/jobs?select=*&is_active=eq.true&order=posted_date.desc{{HEADER}}accept|X|*/*##{{accept-encoding|X|gzip, deflate, br, zstd##{{accept-language|X|en-GB,en-US;q=0.9,en;q=0.8,mr;q=0.7##{{accept-profile|X|public##{{apikey|X|eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJzdXBhYmFzZSIsInJlZiI6InRwc2piZWF6YmZ5dHdlbHFhanRvIiwicm9sZSI6ImFub24iLCJpYXQiOjE3NjQ2ODgxMDgsImV4cCI6MjA4MDI2NDEwOH0.KTBfjA4a8PyhtSq4Bn01AVQQ1Gm6OBDuyyQmlyhJpmQ"",""CurrentJobNum"":1,""MAXJBSPPAGE"":10,""JDVARS"":{""FAREA"":{""type"":""SUB"",""callable"":""Classifier_FAREA""},""ROLE"":{""type"":""SUB"",""callable"":""Classifier_ROLE""},""INDUSTRY"":{""type"":""SUB"",""callable"":""Classifier_INDUSTRY""}},""Cookie"":""YES"",""CurrentPageNum"":0,""USER_AGENT"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"",""LOCJSON"":""description|X|benefits|X|id|X|location|X|salary_range|X|technical_skills|X|updated_at|X|title|XX|"",""LOCJSONSEQ"":""JOBDESC,JOBDESC,JOBID,LOCATION,SALARY,KEY_SKILL,Date,JOBTITLE"",""POSTQUERY"":""update WEB_JOBS set COMPNAME ='Ahana Systems and Solutions',compid ='4962614', jobConsultant = 'n' where  SITE = '4962614_SRP'"",""StartPageNum"":0,""MAXPAGESPARSE"":""1"",""JOBLINK"":""https://www.ahanait.com/careers/jobs"",""ISCRAWL_FULL"":0,""SAVE_JD_COOKIE"":""Yes"",""IS_SITE_ID_DERIVED"":0,""DELETE_UNLISTED"":""y"",""PROXY"":""Yes"",""JOBSCOUNT"":0,""SQLDATE"":""%Y-%m-%d"",""MOVE_TO_JD"":0,""TERMRGX"":"""",""CanProcceed"":1}}",4962614_SRP,https://www.ahanait.com/careers/jobs,https://www.ahanait.com/careers/jobs,JPERL,Apply without Registration,,,22-May-26,22-May-26,2025-12-22,UNIVERSALCRAWLING
6a0ff46d33d7d9046a507071,124567490,ByteBillion,In Process,Level 1,,No Job Crawled,SRP,6,priyanka.rao,"{""xpath"":""//div[@class='p-6 bg-card border border-border rounded-2xl hover:border-primary/50 transition-all duration-500 hover:scale-105 opacity-100 translate-y-0']"",""isOnlyTextSrp"":true}",bytebillion_UC,https://bytebillion.com/career,https://bytebillion.com/career,SRPAUTOMATION,Apply without Registration,,,22-May-26,22-May-26,2025-08-29,
6a0ff40a33d7d9046a507070,2702104,Moksh Tech,In Process,Level 1,,No Job Crawled,SRP,6,priyanka.rao,"{""xpath"":""//select[@name='form_fields[field_c1a202b]']/option"",""isOnlyTextSrp"":true}",mokshtech,https://www.mokshtech.net/join-our-team/,https://www.mokshtech.net/join-our-team/,SRPAUTOMATION,Apply without Registration,,,22-May-26,22-May-26,2025-10-14,OFFLINEPOSTED
6a0ff35333d7d9046a50706f,1589402,EXFO Electro-Optical Engineering India Pvt. Ltd.,Done,Jobs in New Pool,,No Job Crawled,ATS,1,himanshu.tanwar,"{
    ""exfo"": {
        ""CanProcceed"": 1,
        ""Cookie"": ""YES"",
        ""CurrentJobNum"": 1,
        ""CurrentPageNum"": 0,
        ""DELETE_UNLISTED"": ""y"",
        ""ESCAPE_VARJOBLINK"": ""No"",
        ""ISCRAWL_FULL"": 0,
        ""IS_SITE_ID_DERIVED"": 0,
        ""JDRGX1"": ""(?s)class=\""rtltextaligneligible\"">(.*?)Apply now"",
        ""JDRGXSEQ1"": ""JOBDESC"",
        ""JDVARS"": {
            ""FAREA"": {
                ""callable"": ""Classifier_FAREA"",
                ""type"": ""SUB""
            },
            ""INDUSTRY"": {
                ""callable"": ""Classifier_INDUSTRY"",
                ""type"": ""SUB""
            },
            ""ROLE"": {
                ""callable"": ""Classifier_ROLE"",
                ""type"": ""SUB""
            }
        },
        ""JOBLINK"": ""https://careers.exfo.com{{VARJOBLINK}}"",
        ""JOBSCOUNT"": 0,
        ""LOCRGX"": ""(?s)<a class=\""jobTitle-link\""[^\""]+\""(([^\""]+))\"">([^<]+)[^>]+>[^>]+>[^>]+>[^>]+>([^<]+)[^>]+>[^>]+>[^>]+>([^<]+)"",
        ""LOCRGXSEQ"": ""JOBLINK,JOBID,JOBTITLE,LOCATION,Date"",
        ""MAXJBSPPAGE"": 10,
        ""MAXPAGESPARSE"": ""5"",
        ""MOVE_TO_JD"": 1,
        ""POSTQUERY"": ""update WEB_JOBS set COMPNAME ='EXFO Electro-Optical Engineering India Pvt. Ltd.',compid ='1589402', jobConsultant = 'n' where  SITE = 'exfo'"",
        ""PROXY"": ""No"",
        ""SAVE_JD_COOKIE"": ""Yes"",
        ""SQLDATE"": ""%b %d, %Y "",
        ""StartPageNum"": 0,
        ""TERMRGX"": """",
        ""URL"": ""https://careers.exfo.com/search/?q=india&startrow=!0o!STARTJOBNO!0o!"",
        ""USER_AGENT"": ""Firefox/5.0""
    }
}",exfo,https://exfo.wd10.myworkdayjobs.com/en-US/EXFO_Careers?locationCountry=c4f78be1a8f14da0ab49ce1162348a5e,https://careers.exfo.com/search/?createNewAlert=false&q=india&optionsFacetsDD_customfield1=&optionsFacetsDD_location=&optionsFacetsDD_title=&optionsFacetsDD_department=&optionsFacetsDD_customfield4=,JPERL,Apply without Registration,,,22-May-26,22-May-26,2025-11-17,
6a0ff32333d7d9046a50706e,3620906,SEAMEC LIMITED,In Process,Level 1,"The API link returned no data, as the system allows creation of only two job links",No Job Crawled,ATS,7,priyanka.rao,"{""seamec_UC"":{""URL"":""https://seamec.in/index.aspx"",""LOCRGX"":""(?s)<h3 class=\""service-title-large\"">[^>]+>(([^<]+))[^>]+>[^>]+>[^>]+>.+?href=\""(([^\""]+))"",""LOCRGXSEQ"":""JOBTITLE,JOBID,JOBLINK"",""JOBLINK"":""https://seamec.in/{{VARJOBLINK}}"",""JDRGX1"":""(?s) <p class=\""justalign\"">(.+?)</div>"",""JDRGXSEQ1"":""JOBDESC"",""JDRGX2"":""(?s)<li><i class=\""fa fa-map-marker\""></i><span>(.+?)</span></li>"",""JDRGXSEQ2"":""LOCATION"",""CurrentJobNum"":1,""MAXJBSPPAGE"":10,""JDVARS"":{""FAREA"":{""type"":""SUB"",""callable"":""Classifier_FAREA""},""ROLE"":{""type"":""SUB"",""callable"":""Classifier_ROLE""},""INDUSTRY"":{""type"":""SUB"",""callable"":""Classifier_INDUSTRY""}},""Cookie"":""YES"",""CurrentPageNum"":0,""USER_AGENT"":""Firefox/5.0"",""POSTQUERY"":""update WEB_JOBS set COMPNAME ='SEAMEC LIMITED',compid ='3620906', jobConsultant = 'n' where  SITE = 'seamec_UC'"",""StartPageNum"":0,""MAXPAGESPARSE"":""1"",""ISCRAWL_FULL"":0,""SAVE_JD_COOKIE"":""Yes"",""IS_SITE_ID_DERIVED"":0,""DELETE_UNLISTED"":""y"",""JOBSCOUNT"":0,""SQLDATE"":""%Y-%m-%d"",""MOVE_TO_JD"":1,""TERMRGX"":"""",""CanProcceed"":1}}",seamec_UC,https://seamec.in/career.aspx,https://seamec.in/index.aspx,JPERL,Apply without Registration,,,22-May-26,22-May-26,2025-12-26,OFFLINEPOSTED
